Hour,Mon,Tue,Wed,Thur,Fri,Sat
1030-1100,13.05 ,13.86 ,13.05 ,13.05 ,0.00 ,0.00 
1100-1200,22.83 ,19.57 ,17.94 ,17.94 ,24.46 ,0.00 
1200-1300,26.91 ,23.65 ,26.91 ,22.02 ,24.46 ,8.15 
1300-1400,26.91 ,29.35 ,26.91 ,26.91 ,24.46 ,8.15 
1400-1500,26.91 ,21.20 ,19.57 ,24.46 ,0.00 ,0.00 
1500-1600,22.83 ,19.57 ,17.94 ,17.94 ,0.00 ,0.00 
1600-1700,17.94 ,19.57 ,17.94 ,17.94 ,0.00 ,0.00 
1700-1800,17.94 ,19.57 ,17.94 ,17.94 ,0.00 ,0.00 
