Hour,Mon,Tue,Wed,Thur,Fri,Sat
1030-1100,2,2,2,2,0,0
1100-1200,2,2,2,2,3,
1200-1300,3,3,3,3,3,2
1300-1400,3,3,3,3,3,2
1400-1500,3,2,2,2,0,0
1500-1600,2,2,2,2,0,0
1600-1700,2,2,2,3,0,0
1700-1800,2,2,2,2,0,0
