7,December,21,2018,Friday,13
1,January,17,2019,Thursday,15
3,January,22,2019,Tuesday,12
1,January,22,2019,Tuesday,12
1,January,22,2019,Tuesday,12
1,January,22,2019,Tuesday,16
3,January,23,2019,Wednesday,10
3,January,23,2019,Wednesday,11
6,January,23,2019,Wednesday,11
2,January,23,2019,Wednesday,11
4,January,23,2019,Wednesday,12
2,January,23,2019,Wednesday,13
2,January,23,2019,Wednesday,13
2,January,23,2019,Wednesday,13
2,January,23,2019,Wednesday,13
2,January,23,2019,Wednesday,14
6,January,23,2019,Wednesday,14
1,January,23,2019,Wednesday,16
6,January,23,2019,Wednesday,16
6,January,23,2019,Wednesday,16
4,January,24,2019,Thursday,12
4,January,24,2019,Thursday,12
2,January,24,2019,Thursday,13
2,January,24,2019,Thursday,14
6,January,25,2019,Friday,10
1,January,25,2019,Friday,10
6,January,25,2019,Friday,11
1,January,25,2019,Friday,13
2,January,25,2019,Friday,13
2,January,25,2019,Friday,14
6,January,28,2019,Monday,09
2,January,28,2019,Monday,12
1,January,28,2019,Monday,12
1,January,28,2019,Monday,12
1,January,28,2019,Monday,13
1,January,28,2019,Monday,13
4,January,28,2019,Monday,13
1,January,28,2019,Monday,14
2,January,28,2019,Monday,15
1,January,28,2019,Monday,16
3,January,28,2019,Monday,16
1,January,28,2019,Monday,17
1,January,28,2019,Monday,17
2,January,28,2019,Monday,17
4,January,29,2019,Tuesday,12
3,January,29,2019,Tuesday,15
2,February,01,2019,Friday,10
1,February,01,2019,Friday,11
2,February,01,2019,Friday,11
1,February,01,2019,Friday,13
2,February,01,2019,Friday,13
5,February,02,2019,Saturday,13
6,February,04,2019,Monday,09
3,February,04,2019,Monday,11
2,February,04,2019,Monday,12
6,February,04,2019,Monday,15
6,February,04,2019,Monday,15
2,February,04,2019,Monday,15
2,February,04,2019,Monday,15
2,February,04,2019,Monday,16
2,February,04,2019,Monday,17
2,February,04,2019,Monday,17
1,February,05,2019,Tuesday,11
1,February,05,2019,Tuesday,12
2,February,05,2019,Tuesday,13
1,February,05,2019,Tuesday,16
1,February,05,2019,Tuesday,16
6,February,06,2019,Wednesday,13
1,February,06,2019,Wednesday,14
2,February,06,2019,Wednesday,15
1,February,06,2019,Wednesday,17
3,February,11,2019,Monday,11
3,February,11,2019,Monday,12
6,February,11,2019,Monday,13
1,February,11,2019,Monday,15
6,February,11,2019,Monday,15
1,February,12,2019,Tuesday,08
3,February,12,2019,Tuesday,10
1,February,12,2019,Tuesday,11
4,February,12,2019,Tuesday,12
4,February,12,2019,Tuesday,12
1,February,12,2019,Tuesday,12
4,February,12,2019,Tuesday,15
4,February,12,2019,Tuesday,15
1,February,12,2019,Tuesday,16
5,February,12,2019,Tuesday,17
3,February,12,2019,Tuesday,18
1,February,13,2019,Wednesday,10
2,February,13,2019,Wednesday,11
2,February,13,2019,Wednesday,12
2,February,13,2019,Wednesday,12
1,February,13,2019,Wednesday,13
2,February,13,2019,Wednesday,15
